"doi","journal","publication_date","article_type","financial_disclosure","title","pmid","citeulike","crossref","pubmed","scopus","counter_pdf","counter_html","counter_xml","counter","researchblogging","pmc_pdf","pmc_html","pmc","facebook_shares","facebook_likes","facebook_comments","facebook_clicks","facebook","mendeley_readers","mendeley_groups","mendeley","twitter"
"10.1371/journal.pone.0043300","PLoS ONE","2012-08-28","Research Article","This work was supported by the Leukemia and Lymphoma Research (grant number 06062 and 09022) http://leukaemialymphomaresearch.org.uk/ and the Wellcome Trust (grant number 08433/Z/07/Z ). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","Itga2b Regulation at the Onset of Definitive Hematopoiesis and Commitment to Differentiation",NA,0,0,0,0,5,28,2,35,0,0,0,0,0,0,0,0,0,0,0,0,0
"10.1371/journal.pone.0044052","PLoS ONE","2012-08-28","Research Article","This work was supported by Wellcome Trust (Intermediate Fellowship GR078390MA) (http://www.wellcome.ac.uk/), British Heart Foundation (Project grant PG/10/007) (http://www.bhf.org.uk/), and Cambridge Biomedical Research Centre (http://cambridge-brc.org.uk/new/). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","Myocardin Overexpression Is Sufficient for Promoting the Development of a Mature Smooth Muscle Cell-Like Phenotype from Human Embryonic Stem Cells",NA,0,0,0,0,6,70,1,77,0,0,0,0,0,0,0,0,0,0,0,0,1
"10.1371/journal.pone.0044219","PLoS ONE","2012-08-28","Research Article","This work would not have been possible without the generous help of healthy volunteers from Guy's and St. Thomas' Hospital, London. The authors acknowledge support from the Wellcome Trust Programme GR078173MA, Medical Research Council UK Programme G0601387. The research was funded/supported by the National Institute for Health Research (NIHR) Biomedical Research Centre based at Guy's and St Thomas' NHS Foundation Trust and King's College London. The views expressed are those of the author(s) and not necessarily those of the NHS, the NIHR or the Department of Health. N.A and E.S.P are supported by PhD studentships from the Medical Research Council (MRC) Centre for Transplantation. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","Xenogeneic Graft-versus-Host-Disease in NOD-scid IL-2Rγnull Mice Display a T-Effector Memory Phenotype",NA,0,0,0,0,10,50,1,61,0,0,0,0,0,0,0,0,0,0,0,0,1
"10.1371/journal.pone.0043099","PLoS ONE","2012-08-27","Research Article","This work was supported by the following grants and funding agencies: Alzheimer's Research UK (SW and JH), The Alzheimer's Society (MNR), Parkinson's UK (PAL and JH), the Medical Research Council, the National Institute of Neurological Disorders and Stroke (National Institute of Neurological Disorders and Stroke/National Institutes of Health grants NS38377 [TD], NS060113 [LNC], NS036630 [KSM], NS050487 [LNC]), GO grants RC2NS069395, RC2NS069422, RC2 NS070276, Mayo Clinic Morris K. Udall Center grants P50NS072187 and P50 NS072187-01S2 (ZKW, RJU, OAR), Columbia Udall grant P50NS38370 (SP), MDSCF grant 2007-MSCRFI-0420-00 (TD), P2ALS (JDR), The Parkinson's Disease Foundation (LNC, SP, KSM), The Swedish Parkinson Academy (AP and CN) and the Michael J. Fox Foundation (JH, KSM, LNC). This work was partly undertaken at University College London Hospitals/University College London (UCL), which receives a proportion of funding from the Department of Health's National Institute for Health Research Biomedical Research Centres funding scheme. This work was also supported in part by the Wellcome Trust/Medical Research Council (MRC) Joint Call in Neurodegeneration award (WT089698) to the UK Parkinson's Disease Consortium, whose members are from the UCL Institute of Neurology, the University of Sheffield, and the MRC Protein Phosphorylation Unit at the University of Dundee. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","Creation of an Open-Access, Mutation-Defined Fibroblast Resource for Neurological Disease Research",NA,0,0,0,0,6,107,0,113,0,0,0,0,0,0,0,0,0,0,0,0,8
"10.1371/journal.pone.0043576","PLoS ONE","2012-08-27","Research Article","SSD was funded by a Wellcome Trust Health Consequences of Population Change Fellowship (WT074061AIA, http://www.wellcome.ac.uk). RGW is funded by a Medical Research Council (UK) Methodology Research Fellowship (G0802414, www.mrc.ac.uk/), the Bill & Melinda Gates Foundation (19790.01, www.gatesfoundation.org/), and the EU FP7 (242061, http://ec.europa.eu/index_en.htm). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","HIV and STI Prevalence and Determinants among Male Migrant Workers in India",NA,0,0,0,0,8,89,1,98,0,0,0,0,0,0,0,0,0,0,0,0,4
"10.1371/journal.pone.0042919","PLoS ONE","2012-08-24","Research Article","This work was supported by The Wellcome Trust of Great Britain. Stephen Baker is funded by an OAK Foundation through Oxford University, United Kingdom. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","The Co-Selection of Fluoroquinolone Resistance Genes in the Gut Flora of Vietnamese Children",NA,0,0,0,0,7,59,1,67,0,0,0,0,0,0,0,0,0,0,0,0,0
"10.1371/journal.ppat.1002854","PLoS Pathogens","2012-08-23","Research Article","The generous funding that supported this work came primarily from the Wellcome Trust Grant 076775/Z/05/Z to KPR (http://www.wellcome.ac.uk/) which covered salaries of JCAL and SP. Significant contributions were also made from a BBSRC studentship to OD and KRH (http://www.bbsrc.ac.uk), which was augmented by a CNRS Fellowship to KPR (http://www.cnrs.fr/), and University of Nottingham pump priming. VIP funding to KRH (www.nottingham.ac.uk) and The Medical Research Council grant (G0802525) supported JCAL for the final stages of data collection (http://www.mrc.ac.uk/index.htm), and American Diabetes Association research grant (#1-08-RA-165) to KPR enabled the in vivo work (http://www.diabetes.org/). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","A Novel Virulence Strategy for Pseudomonas aeruginosa Mediated by an Autotransporter with Arginine-Specific Aminopeptidase Activity",22927813,0,0,0,0,51,373,4,428,0,0,0,0,1,0,0,0,1,0,0,0,1
"10.1371/journal.pmed.1001297","PLoS Medicine","2012-08-21","Research Article","This trial was supported by grants 076908 and 082541 from the Wellcome Trust, and was coordinated as part of the Wellcome Trust Mahidol University Oxford Tropical Medicine Research Programme funded by the Wellcome Trust of Great Britain (http://www.wellcome.ac.uk/). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","Diagnosing Severe Falciparum Malaria in Parasitaemic African Children: A Prospective Evaluation of Plasma PfHRP2 Measurement",NA,0,0,0,0,109,1120,19,1248,0,0,0,0,1,0,0,0,1,0,0,0,8
"10.1371/journal.pntd.0001796","PLoS Neglected Tropical Diseases","2012-08-21","Research Article","MCF and APG were funded by National Institutes of Health grant U01 GM087719, Models of Infectious Disease Agent Study (MIDAS), and KH was funded by the Wellcome Trust. Field data were generated with the support of the National Science Foundation and NIH (DEB0225453, DEB0513994), the Wellcome Trust, and Lincoln Park Zoo. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","Potential for Rabies Control through Dog Vaccination in Wildlife-Abundant Communities of Tanzania",NA,0,0,0,0,38,395,6,439,0,0,0,0,1,0,0,0,1,0,0,0,4
"10.1371/journal.pone.0040938","PLoS ONE","2012-08-17","Research Article","Funding provided by The Wellcome Trust (077186/Z/05/Z; www.wellcome.ac.uk/). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","MiR-25 Regulates Wwp2 and Fbxw7 and Promotes Reprogramming of Mouse Fibroblast Cells to iPSCs",22912667,2,0,0,0,65,380,8,453,0,0,0,0,4,0,0,0,4,0,0,0,1
"10.1371/journal.pone.0041762","PLoS ONE","2012-08-17","Research Article","This work was funded by the Wellcome Trust and the European Molecular Biology Laboratory European Bioinformatics Institute. MPD was partially supported by a Medical Research Council studentship. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","Large-Scale Identification of MicroRNA Targets in Murine Dgcr8-Deficient Embryonic Stem Cell Lines",22912678,2,0,0,0,66,372,5,443,0,0,0,0,1,0,0,0,1,0,0,0,1
"10.1371/journal.pone.0043620","PLoS ONE","2012-08-17","Research Article","Dr. Maguire and Dr. Mullally were supported by the Wellcome Trust. Dr. Auger’s funding was from UCLH/UCL, who received a proportion of funding from the Department of Health’s NIHR Biomedical Research Centres funding scheme. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","Retrosplenial Cortex Codes for Permanent Landmarks",22912894,0,0,0,0,36,317,7,360,0,0,0,0,1,0,0,0,1,0,0,0,9
"10.1371/journal.pgen.1002907","PLoS Genetics","2012-08-16","Research Article","MI was supported by an NHMRC Biomedical Postdoctoral Fellowship (no. 637400). The analyses in this study were supported by project VR0126 of the Victorian Life Sciences Computing Initiative. SR was supported by the Academy of Finland Center of Excellence in Complex Disease Genetics (213506 and 129680), the Academy of Finland (251217), the Finnish Foundation for Cardiovascular Research, and the Sigrid Juselius Foundation. The study was supported with funds from the Wellcome Trust, UK (project grant GR069224). The Young Finns Study has been financially supported by the Academy of Finland [grants 126925, 121584, 124282, 129378 (Salve), 117787 (Gendi), and 41071 (Skidi)]; the Social Insurance Institution of Finland; Kuopio, Tampere, and Turku University Hospital Medical Funds; Juho Vainio Foundation; Paavo Nurmi Foundation; Finnish Foundation for Cardiovascular Research and Finnish Cultural Foundation; Tampere Tuberculosis Foundation (TL, MK); and The Emil Aaltonen Foundation (TL). The metabolomics work was supported by grants from the Academy of Finland (grant 137870 to PS) and the Responding to Public Health Challenges Research Programme of the Academy of Finland (grant 129269 to MJS and 129429 to MA-K), the Finnish Foundation for Cardiovascular Research (MJS, MA-K), the Jenny and Antti Wihuri Foundation (AJK), and the Strategic Research Funding from the University of Oulu. The DILGOM-study was supported by the Academy of Finland, grant 118065. VS was supported by grants 139635 and 129494 from the Academy of Finland. The Tampere Vascular Study was supported with grants from the Competitive Research Funding of the Tampere University Hospital (Grant 9M048 and 9N035 for TL), the Emil Aaltonen Foundation (TL), the Pirkanmaa Regional Fund of the Finnish Cultural Foundation, the Research Foundation of Orion Corporation, the Jenny and Antti Wihuri Foundation, and the Academy of Finland (Grant no. 104821), the Finnish Foundation for Cardiovascular Research, the Yrjö Jahnsson Foundation, and European Union 7th Framework Program (grant 201668, AtheroRemo). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","Novel Loci for Metabolic Networks and Multi-Tissue Expression Studies Reveal Genes for Atherosclerosis",22916037,4,0,0,0,121,973,10,1104,0,0,0,0,1,0,0,0,1,0,0,0,7
"10.1371/journal.pgen.1002912","PLoS Genetics","2012-08-16","Review","Financial support has come from the BBSRC and The Wellcome Trust. The funders had no role in the preparation of the article.","Advances in Quantitative Trait Analysis in Yeast",22916041,2,0,0,0,270,1017,12,1299,0,0,0,0,1,0,0,0,1,0,0,0,10
"10.1371/journal.pone.0042670","PLoS ONE","2012-08-16","Research Article","This study was supported by a grant (064722) from the Wellcome Trust and by independent grants from the Nutricia Research Foundation, the Ter Meulen Fund of the Royal Netherlands Academy of Arts and Sciences, the Dr. P.C. Flu Foundation and JANIVO Foundation. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","Iron Status Predicts Malaria Risk in Malawian Preschool Children",22916146,0,0,0,0,46,316,6,368,0,0,0,0,0,0,0,0,0,0,0,0,2
"10.1371/journal.pone.0043170","PLoS ONE","2012-08-16","Research Article","Funding for R.J. Wilkinson from Wellcome Trust (084323 and 088316) and Medical Research Council (U.1175.02.002.00014.01), the Wellcome Trust (085251/Z/08/Z), and the National Research Foundation of South Africa. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","Modern Lineages of Mycobacterium tuberculosis Exhibit Lineage-Specific Patterns of Growth and Cytokine Induction in Human Monocyte-Derived Macrophages",22916219,0,0,0,0,53,387,10,450,0,0,0,0,0,0,0,0,0,0,0,0,0
"10.1371/journal.pmed.1001292","PLoS Medicine","2012-08-14","Research Article","This analysis was funded by a sub-grant to LSHTM (London School of Hygiene & Tropical Medicine) from the CHERG (Child Health Epidemiology Research Group) under objective 5, MA8 of grant number 50140. The CHERG is funded by a grant from the Bill & Melinda Gates Foundation (810-2054), Seattle, Washington, USA via a partnership with the US Fund for UNICEF and receives ongoing financial support from WHO and UNICEF. The original studies were funded by the following: (1) USAID (United States Agency for International Development) (Asembo Bay cohort study, Kenya); (2) Wellcome Trust Training Fellowship in Clinical Tropical Medicine to DW-J (Syphilis screening study, Tanzania); (3) Gates Malaria Partnership (Kabale malaria study, Uganda); (4) European Union Framework 7 (STOPPAM, Tanzania) contract number 200889. The funders had no role in the design, data collection and analysis, decision to publish or preparation of the manuscript.","Neonatal Mortality Risk Associated with Preterm Birth in East Africa, Adjusted by Weight for Gestational Age: Individual Participant Level Meta-Analysis",22904691,0,0,0,0,111,1427,25,1563,0,0,0,0,0,0,0,0,0,0,0,0,14
"10.1371/journal.pgen.1002834","PLoS Genetics","2012-08-09","Research Article","This work was funded in part by a Wellcome Trust grant (ME050495MES) and a Biotechnology and Biological Sciences Research Council (BBSRC) grant (BB/H008497/1), which funds SW, to JPdM. DW is thankful for past support from the Erasmus programme and from the Bundesministerium für Bildung und Forschung. JPdM is also grateful for support from the Ellison Medical Foundation and from a Marie Curie International Reintegration Grant within EC-FP7. Research in FT's lab is supported by the American Heart Association 09BGIA2290189. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","Dissecting the Gene Network of Dietary Restriction to Identify Evolutionarily Conserved Pathways and New Functional Genes",22912585,2,0,0,0,237,1376,16,1629,0,0,0,0,7,6,2,0,15,3,0,3,11
"10.1371/journal.pone.0041223","PLoS ONE","2012-08-08","Research Article","This work was supported by the Wellcome Trust [to ACN; WT082791MA]. In addition, AMM was supported by a Commonwealth Scholarship, MGS was supported by St John's College, Oxford, and DEA was supported by a Postdoctoral Fellowship from the British Academy and by a project grant from the Royal Society. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","Lacking Control over the Trade-Off between Quality and Quantity in Visual Short-Term Memory",22905099,0,0,0,0,24,445,5,474,0,0,0,0,0,0,0,0,0,0,0,0,5
"10.1371/journal.pmed.1001281","PLoS Medicine","2012-08-07","Research Article","The study was funded by the Wellcome Trust. KK and SDL had support from the Wellcome Trust, RW had support from IEDEA (5U01AI069924-02, CEPAC (5 R01 AI058736-02), USAID Right to Care (CA 674 A 00 08 0000 700), CIPRA (IU19AI53217-07), LGB had support from NIH CIPRA (1U19AI053217). The mobile clinic used in this study was funded by the following sources: USAID and Agence Francaise de Developpment. No funding bodies had any role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","Feasibility, Yield, and Cost of Active Tuberculosis Case Finding Linked to a Mobile HIV Service in Cape Town, South Africa: A Cross-sectional Study",22879816,0,0,0,0,139,1415,40,1594,0,0,0,0,7,1,0,0,8,0,0,0,8
"10.1371/journal.pntd.0001760","PLoS Neglected Tropical Diseases","2012-08-07","Research Article","OJB is funded by a BBSRC Industrial CASE studentship award held by the University of Oxford and Oxitec Ltd, Abingdon, U.K. SIH is funded by a Senior Research Fellowship from the Wellcome Trust (#079091), which also supports PWG. CLM is funded by a Biomedical Resources Grant from the Wellcome Trust (#091835). JSB is funded by National Library of Medicine grants R01 LM010812 and G08 LM009776. JM, AF, and SIH received funding from and with OJB, PWG, and SB acknowledge the contribution of the International Research Consortium on Dengue Risk Assessment Management and Surveillance (IDAMS, European Commission 7th Framework Programme (#21803) (http://www.idams.eu). SIH and TWS also acknowledge support from the RAPIDD program of the Science and Technology Directorate, Department of Homeland Security, and the Fogarty International Center, National Institutes of Health (http://www.fic.nih.gov). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","Refining the Global Spatial Limits of Dengue Virus Transmission by Evidence-Based Consensus",22880140,0,0,0,0,157,993,21,1171,0,0,0,0,0,0,0,0,0,0,0,0,15
"10.1371/journal.pntd.0001772","PLoS Neglected Tropical Diseases","2012-08-07","Research Article","This work was supported by NHMRC grant #613648. MLG is supported by NHMRC CDA and the Research and Policy for Infectious Disease Dynamics (RAPIDD) program of the Science and Technology Directorate, Department of Homeland Security, and the Fogarty International Center, National Institutes of Health. RP is a Wellcome Trust Senior Research Fellow in Clinical Science. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","An Analytical Method for Assessing Stage-Specific Drug Activity in Plasmodium vivax Malaria: Implications for Ex Vivo Drug Susceptibility Testing",22880143,0,0,0,0,73,431,12,516,0,0,0,0,0,0,0,0,0,0,0,0,1
"10.1371/journal.pone.0042382","PLoS ONE","2012-08-06","Research Article","This work was funded by the Wellcome Trust (091182 to AG and AOMW); the National Institute for Health Research Biomedical Research Centre Programme, Oxford (GDHT); and the Danish Cancer Society (DP08147 to ERDM). JL was funded by a Malaysian Ministry of Higher Education Fellowship. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","Selfish Spermatogonial Selection: Evidence from an Immunohistochemical Screen in Testes of Elderly Men",22879958,0,0,0,0,56,231,7,294,0,0,0,0,2,0,0,0,2,0,0,0,0
"10.1371/journal.pone.0042648","PLoS ONE","2012-08-06","Research Article","AT was supported by the EU through the European Social Fund (Mobilitas postdoctoral grant MJD 257). Data collection, field work and laboratory analyses costs were covered by the Estonian Science Foundation grants Nos. 7298 (HT, TT), 7736 (PK), 7792 (KL), 8333 (A. Sellin) and 9186 (A. Sõber). The authors from the University of Tartu received additional support from the Estonian Ministry of Education and Research (project No SF0182732s06) and the European Regional Development Fund (Centre of Excellence in Environmental Adaptation). LP was supported by the Wellcome Trust (grant WT077192/Z/05/Z). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","Climate Change at Northern Latitudes: Rising Atmospheric Humidity Decreases Transpiration, N-Uptake and Growth Rate of Hybrid Aspen",22880067,3,0,0,0,38,251,8,297,0,0,0,0,0,0,0,0,0,0,0,0,0
"10.1371/journal.pone.0042844","PLoS ONE","2012-08-06","Research Article","TB is funded by, and MM and GM receive support from, a grant from PEPFAR/USAID, administered by ANOVA Healthcare Institute. GM is funded by the Wellcome Trust, London, United Kingdom, and also received SATBAT research training that was funded by the Fogarty International Center and National Institutes of Health (NIH) (NIH/FIC U2RTW007373-01A1 and URTW007370-01A1). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","Failure to Eradicate Isospora belli Diarrhoea Despite Immune Reconstitution in Adults with HIV - A Case Series",22880120,0,0,0,0,38,255,9,302,0,0,0,0,0,0,0,0,0,0,0,0,0
"10.1371/journal.pone.0042531","PLoS ONE","2012-08-03","Research Article","The work was supported by the Wellcome Trust http://www.wellcome.ac.uk (ref 073405) and the Leverhulme Trust http://www.leverhulme.ac.uk (ref F/00 808/C). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","Investigation of the Bacterial Communities Associated with Females of Lutzomyia Sand Fly Species from South America",22880020,0,0,0,0,52,183,6,241,0,0,0,0,0,0,0,0,0,0,0,0,0
"10.1371/journal.pone.0042572","PLoS ONE","2012-08-03","Research Article","This work was funded by award number 083209/Z/07/A from the Wellcome Trust, www.wellcome.ac.uk. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","Activation of Wnt/β-Catenin Signalling Affects Differentiation of Cells Arising from the Cerebellar Ventricular Zone",22880037,0,0,0,0,57,280,8,345,0,0,0,0,2,4,0,0,6,0,0,0,1
"10.1371/journal.pgen.1002793","PLoS Genetics","2012-08-02","Research Article","Support from the National Institutes of Health (HG000376, HG005214, HG005581, DK062370, NO1-AG-1-2109), the Wellcome Trust (098051), the British Heart Foundation, and the Leicester NIHR Biomedical Research Unit in Cardiovascular Disease is gratefully acknowledged. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","The Metabochip, a Custom Genotyping Array for Genetic Studies of Metabolic, Cardiovascular, and Anthropometric Traits",22876189,0,2,0,0,303,1318,30,1651,0,0,0,0,1,2,1,0,4,0,0,0,3
